id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6098,Boxholm,Boone County,IA,Iowa,50223,City,42.17581,-94.10607,515,195,115,32250,2640072,0,America/Chicago
6099,Boyden,Sioux County,IA,Iowa,51234,City,43.19109,-96.00585,712,709,299,53558,1942029,0,America/Chicago
6100,Braddyville,Page County,IA,Iowa,51631,City,40.57888,-95.02998,712,155,65,50938,1374709,0,America/Chicago
6101,Bradford,Franklin County,IA,Iowa,50041,CDP,42.63303,-93.24492,641,99,47,44821,1507973,0,America/Chicago
6102,Bradgate,Humboldt County,IA,Iowa,50520,City,42.80303,-94.41803,515,84,36,42500,900589,5128,America/Chicago
6103,Brandon,Buchanan County,IA,Iowa,52210,City,42.31444,-92.00212,319,308,159,43125,816849,0,America/Chicago
6104,Brayton,Audubon County,IA,Iowa,50042,City,41.54443,-94.92415,712,120,74,36500,1596973,0,America/Chicago
6105,Breda,Carroll County,IA,Iowa,51436,City,42.18165,-94.97693,712,477,213,42417,1919722,0,America/Chicago
6106,Bridgewater,Adair County,IA,Iowa,50837,City,41.24499,-94.66886,641,178,72,51250,748447,0,America/Chicago
6107,Brighton,Washington County,IA,Iowa,52540,City,41.17474,-91.81961,319,658,236,32857,2022504,0,America/Chicago
6108,Bristow,Butler County,IA,Iowa,50611,City,42.77386,-92.90742,641,161,70,31500,2422426,0,America/Chicago
6109,Britt,Hancock County,IA,Iowa,50423,City,43.09774,-93.80189,641,2026,904,45929,3274114,0,America/Chicago
6110,Bronson,Woodbury County,IA,Iowa,51007,City,42.41083,-96.21391,712,322,134,48125,791753,0,America/Chicago
6111,Brooklyn,Poweshiek County,IA,Iowa,52211,City,41.73361,-92.44546,641,1453,580,43194,3252233,0,America/Chicago
6112,Brunsville,Plymouth County,IA,Iowa,51008,City,42.80971,-96.26919,712,149,49,70625,611429,0,America/Chicago
6113,Buckeye,Hardin County,IA,Iowa,50006,City,42.4172,-93.37493,515,107,32,45000,2580056,0,America/Chicago
6114,Buck Grove,Crawford County,IA,Iowa,51528,City,41.91804,-95.39611,712,43,17,54583,940958,0,America/Chicago
6115,Buffalo,Scott County,IA,Iowa,52728,City,41.45642,-90.72347,563,1298,456,45714,17533335,97950,America/Chicago
6116,Buffalo Center,Winnebago County,IA,Iowa,50424,City,43.38579,-93.94662,641,891,386,32813,2781319,0,America/Chicago
6117,Burchinal,Cerro Gordo County,IA,Iowa,50469,CDP,43.06524,-93.27826,641,46,13,45573,199660,0,America/Chicago
6118,Burlington,Des Moines County,IA,Iowa,52601,City,40.80754,-91.11292,319,25539,10960,38329,37515939,1977659,America/Chicago
6119,Burr Oak,Winneshiek County,IA,Iowa,52101,CDP,43.45886,-91.86543,563,183,91,34688,1786228,0,America/Chicago
6120,Burt,Kossuth County,IA,Iowa,50522,City,43.19746,-94.21969,515,515,180,29167,1127107,0,America/Chicago
6121,Bussey,Marion County,IA,Iowa,50044,City,41.20445,-92.8827,641,416,178,33333,861875,0,America/Chicago
6122,Calamus,Clinton County,IA,Iowa,52729,City,41.82586,-90.7582,563,418,160,60000,1250436,0,America/Chicago
6123,California Junction,Harrison County,IA,Iowa,51555,CDP,41.5586,-95.99473,712,127,73,40114,1192780,0,America/Chicago
6124,Callender,Webster County,IA,Iowa,50523,City,42.36192,-94.2958,515,363,142,48750,1356287,0,America/Chicago
6125,Calmar,Winneshiek County,IA,Iowa,52132,City,43.18358,-91.86405,563,961,471,47961,2781942,0,America/Chicago
6126,Calumet,O'Brien County,IA,Iowa,51009,City,42.94637,-95.55001,712,170,107,55625,688550,0,America/Chicago
6127,Camanche,Clinton County,IA,Iowa,52730,City,41.78809,-90.25624,563,4358,1968,53500,22485003,1948087,America/Chicago
6128,Cambridge,Story County,IA,Iowa,50046,City,41.89832,-93.5291,515,822,330,54706,3431867,2656,America/Chicago
6129,Cantril,Van Buren County,IA,Iowa,52542,City,40.6442,-92.0699,319,222,84,38125,1317402,0,America/Chicago
6130,Carbon,Adams County,IA,Iowa,50839,City,41.04999,-94.82331,641,33,13,31563,1828417,0,America/Chicago
6131,Carlisle,Warren County/Polk County,IA,Iowa,50047,City,41.518,-93.48515,515,4098,1473,58780,14437445,10044,America/Chicago
6132,Carpenter,Mitchell County,IA,Iowa,50426,City,43.41496,-93.01492,641,108,47,43438,415144,0,America/Chicago
6133,Carroll,Carroll County,IA,Iowa,51401,City,42.06582,-94.86693,712,10007,4339,43483,14748577,0,America/Chicago
6134,Carson,Pottawattamie County,IA,Iowa,51525,City,41.23666,-95.41806,712,812,308,51500,1836044,0,America/Chicago
6135,Carter Lake,Pottawattamie County,IA,Iowa,51510,City,41.29055,-95.91807,712,3766,1463,45379,4841210,387357,America/Chicago
6136,Cascade,Dubuque County/Jones County,IA,Iowa,52033,City,42.30192,-91.00458,563,2252,824,58152,4919104,0,America/Chicago
6137,Casey,Adair County/Guthrie County,IA,Iowa,50048,City,41.50746,-94.52127,641,407,194,46842,1914130,0,America/Chicago
6138,Castalia,Winneshiek County,IA,Iowa,52133,City,43.11192,-91.67626,563,169,89,46042,1506415,0,America/Chicago
6139,Castana,Monona County,IA,Iowa,51010,City,42.07443,-95.90862,712,137,72,29250,2398574,0,America/Chicago
6140,Cedar Falls,Black Hawk County,IA,Iowa,"50613, 50614",City,42.52776,-92.44547,319,40859,14158,50547,74458534,2213961,America/Chicago
6141,Cedar Rapids,Linn County,IA,Iowa,"52401, 52402, 52403, 52404, 52405, 52406, 52407, 52408, 52409, 52410, 52411, 52497, 52498, 52499",City,42.00833,-91.64407,319,129195,52788,52216,183346585,3295742,America/Chicago
6142,Center Junction,Jones County,IA,Iowa,52212,City,42.11612,-91.08709,563,111,47,56042,1440462,0,America/Chicago
6143,Center Point,Linn County,IA,Iowa,52213,City,42.19083,-91.78518,319,2494,953,69608,6724830,0,America/Chicago
6144,Centerville,Appanoose County,IA,Iowa,52544,City,40.73418,-92.87409,641,5433,2431,32477,12627894,76988,America/Chicago
6145,Central City,Linn County,IA,Iowa,52214,City,42.20388,-91.52406,319,1272,535,41146,2448506,54926,America/Chicago
6146,Centralia,Dubuque County,IA,Iowa,52068,City,42.47222,-90.83707,563,130,60,47500,1460487,0,America/Chicago
6147,Chapin,Franklin County,IA,Iowa,50475,CDP,42.83358,-93.22215,641,180,58,51250,180643,0,America/Chicago
